block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
Bravo 13,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,13,,151,4,PORTION
Bravo 13,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,14,,154,4,PORTION
Bravo 13,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,15,,154,4,PORTION
Bravo 13,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,16,,168,4,PORTION
Bravo 13,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,17,,178,4,PORTION
Bravo 13,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,18,,180,4,PORTION
Bravo 13,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,19,,77,4,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,1,,19,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,2,,32,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,3,,48,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,4,,67,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,5,,81,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,6,,73,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,7,,88,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,8,,103,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,9,,108,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,10,,150,3.5,PORTION
Bravo 14,Robbies Bravo,cf5f23aa-026a-44c6-9699-8f70f94ef696,11,,155,3.5,PORTION
