block_raw,block_matched,row_number,side,structure,variety_raw,variety_matched,variety_id,rootstock_raw,rootstock_matched,rootstock_id,planting_year,tree_count,length_m,area_m2
Bravo 13,Robbies Bravo,13,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,2013,151,151,604
Bravo 13,Robbies Bravo,14,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,2013,154,154,616
Bravo 13,Robbies Bravo,15,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,2013,154,154,616
Bravo 13,Robbies Bravo,16,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,106,MM.106,070af645-e78b-4e4a-923c-6d2f8b16d174,2013,22,22,88
Bravo 13,Robbies Bravo,16,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2013,146,146,584
Bravo 13,Robbies Bravo,17,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2013,178,178,712
Bravo 13,Robbies Bravo,18,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2013,180,180,720
Bravo 13,Robbies Bravo,19,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2013,77,77,308
Bravo 14,Robbies Bravo,1,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2014,19,19,66.5
Bravo 14,Robbies Bravo,2,,PORTION,Bravo,Bravo,ea5e0d65-4796-4d1d-8081-338ca30e7fdf,M26,M.26,0a32306b-5e22-4a0c-aa81-043f730f05ad,2014,32,32,112
